Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,530.149830802984,502.056770622973,500.522664145294,516.866552182696,368.754614175459
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,4531.0193737689,5287.66369446913,5396.21586434732,5332.16047456847,6492.87201224634
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4134.93671999429,4171.79501086373,4022.15018374716,3337.25251157504,3690.62787797599
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,12372.8847825647,13195.9358995539,13672.576657298,15501.5263374397,15743.3107582991
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,40632.4843928243,42903.4435794631,41327.5020305489,37207.4938608348,42137.3272710372
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2283.21423255725,2487.50099555267,2142.23875712854,1603.99347745326,1953.53375721508
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,16110.5562811025,17527.1696291931,18319.4560540762,14787.6357752901,15781.3957017982
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,14613.041824658,11795.1593866287,9963.6725062053,8496.42414176374,10636.1201956183
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4041.99502080997,4391.92369729686,4828.50517771789,4505.86736397124,4966.51347122366
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,29326.7080582111,30220.5945232395,31650.7605367511,24487.8635601966,29342.1008575886
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,53936.1402549903,57207.8715094806,54941.4341793948,51720.3707634401,60443.1091649968
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,47429.1584564387,51466.5565633634,50070.4033482901,48809.2268762243,53637.7057109897
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,4147.08971569171,4739.84171028393,4805.75371765917,4229.91064904503,5387.99797495383
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,30969.8761966819,31738.2671569969,32610.4850490784,23862.7109929122,27478.3896289831
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,24349.9098701325,25415.8466249472,25869.1129129041,23501.9194628168,26562.9691354026
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,1815.6094264579,1963.41185467584,2122.07885124799,2233.30552399269,2457.92487986361
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,17843.1979282703,18224.8905923744,19002.9623813263,16643.8065787177,17225.4623044097
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,5785.67067254068,6360.06247301284,6837.71782606351,6542.79749130553,7302.25779418774
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,44198.4823908691,47544.9811472757,46638.6813054855,45517.7949301847,51247.0143531626
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,6100.99468097883,6059.16255306675,6210.56554311929,5266.87616004213,6228.26730928353
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1095.27445905119,1194.43821427144,1170.96553298099,1237.94929535039,1319.1549945174
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,111820.581466347,113050.73688163,116153.166121638,107791.886435134,114090.328338579
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,3240.70476560368,3210.70626919782,3303.96421053812,3009.92417072191,3266.36490519183
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3280.00821346382,3471.00695064499,3472.38083075685,3068.81255507604,3345.19658873831
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,5255.80705791233,5936.10150173874,6011.37067052755,6012.06276705855,7143.3105484321
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,6705.35186204355,6947.80081217637,6679.16767381458,5863.20324072216,6805.22127398897
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,9896.68478335903,9121.08340257783,8845.25911841876,6794.48915877166,7507.16097080234
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,28186.8030267778,31241.4539554095,30748.7374865551,27179.4119853371,31449.0765620727
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,8366.29322145748,9446.71709419731,9879.33434282707,10129.8129597638,12221.4966064171
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,711.184604673297,779.202709700092,772.166894917835,833.244342636324,893.077155776863
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,243.135809436375,231.446476548394,216.972968085123,216.826741341377,221.477676223363
