Series Name,Series Code,Country Name,Country Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,35643418,36686784,37769499,38972230,40099462
"Population, total",SP.POP.TOTL,Africa Eastern and Southern,AFE,632746296,649756874,667242712,685112705,702976832
"Population, total",SP.POP.TOTL,Africa Western and Central,AFW,431138704,442646825,454306063,466189102,478185907
"Population, total",SP.POP.TOTL,Albania,ALB,2873457,2866376,2854191,2837849,2811666
"Population, total",SP.POP.TOTL,Algeria,DZA,41136546,41927007,42705368,43451666,44177969
"Population, total",SP.POP.TOTL,American Samoa,ASM,49463,48424,47321,46189,45035
"Population, total",SP.POP.TOTL,Andorra,AND,73837,75013,76343,77700,79034
"Population, total",SP.POP.TOTL,Angola,AGO,30208628,31273533,32353588,33428486,34503774
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,91119,91626,92117,92664,93219
"Population, total",SP.POP.TOTL,Arab World,ARB,423664839,432545676,441467739,449228296,456520777
"Population, total",SP.POP.TOTL,Argentina,ARG,44044811,44494502,44938712,45376763,45808747
"Population, total",SP.POP.TOTL,Armenia,ARM,2851923,2836557,2820602,2805608,2790974
"Population, total",SP.POP.TOTL,Aruba,ABW,105439,105962,106442,106585,106537
"Population, total",SP.POP.TOTL,Australia,AUS,24594202,24966643,25340217,25655289,25688079
"Population, total",SP.POP.TOTL,Austria,AUT,8797566,8840521,8879920,8916864,8955797
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9854033,9939771,10024283,10093121,10137750
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,399020,401906,404557,406471,407906
"Population, total",SP.POP.TOTL,Bahrain,BHR,1456834,1487340,1494188,1477469,1463265
"Population, total",SP.POP.TOTL,Bangladesh,BGD,161793964,163683958,165516222,167420951,169356251
"Population, total",SP.POP.TOTL,Barbados,BRB,279187,279688,280180,280693,281200
"Population, total",SP.POP.TOTL,Belarus,BLR,9458989,9438785,9419758,9379952,9340314
"Population, total",SP.POP.TOTL,Belgium,BEL,11375158,11427054,11488980,11538604,11592952
"Population, total",SP.POP.TOTL,Belize,BLZ,374693,382066,389095,394921,400031
"Population, total",SP.POP.TOTL,Benin,BEN,11596779,11940683,12290444,12643123,12996895
"Population, total",SP.POP.TOTL,Bermuda,BMU,63873,63918,63911,63893,63867
"Population, total",SP.POP.TOTL,Bhutan,BTN,756121,762096,767459,772506,777486
"Population, total",SP.POP.TOTL,Bolivia,BOL,11435533,11606905,11777315,11936162,12079472
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3440027,3400129,3360711,3318407,3270943
"Population, total",SP.POP.TOTL,Botswana,BWA,2401840,2451409,2499702,2546402,2588423
"Population, total",SP.POP.TOTL,Brazil,BRA,208504960,210166592,211782878,213196304,214326223
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,30060,30335,30610,30910,31122
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,430276,434274,438048,441725,445373
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7075947,7025037,6975761,6934015,6877743
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,19835858,20392723,20951639,21522626,22100683
"Population, total",SP.POP.TOTL,Burundi,BDI,11155593,11493472,11874838,12220227,12551213
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,564954,571202,577030,582640,587925
"Population, total",SP.POP.TOTL,Cambodia,KHM,15830689,16025238,16207746,16396860,16589023
"Population, total",SP.POP.TOTL,Cameroon,CMR,24393181,25076747,25782341,26491087,27198628
"Population, total",SP.POP.TOTL,Canada,CAN,36545236,37065084,37601230,38037204,38246108
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,7303634,7374650,7424102,7444768,7481877
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,63581,64884,66134,67311,68136
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4996741,5094780,5209324,5343020,5457154
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,102740078,102538451,102398537,102180124,101430997
"Population, total",SP.POP.TOTL,Chad,TCD,15085884,15604210,16126866,16644701,17179740
"Population, total",SP.POP.TOTL,Channel Islands,CHI,165215,167259,169410,171113,172683
"Population, total",SP.POP.TOTL,Chile,CHL,18368577,18701450,19039485,19300315,19493184
"Population, total",SP.POP.TOTL,China,CHN,1396215000,1402760000,1407745000,1411100000,1412360000
"Population, total",SP.POP.TOTL,Colombia,COL,48351671,49276961,50187406,50930662,51516562
"Population, total",SP.POP.TOTL,Comoros,COM,761664,776313,790986,806166,821625
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,84283273,87087355,89906890,92853164,95894118
